Flow ID,Source IP,Destination IP,Source Port,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min, Label
flow-000000,166.18.177.252,28.213.41.228,37162,23,6,07/07/2017 10:00:00 AM,163.2703844029177,1,1,3872,3142,57,38,53.78135394712606,137.77466758976016,1436,55,140.0074497998944,195.26654188465585,472.3674385963759,1407.0456001948426,13947.87764409906,2.336297523042985,97102.2920977706,308.74075481385825,37834.256895869876,28.36555917787936,46.124850082831514,11159.492819749785,199.93048585762773,1433.6883379131525,10920.89866088328,349.15701064545635,1139.7277583599732,247.3544037332349,2,0,0,0,110,130,22.79971297249238,0.8266189580467012,44,815,381.64410892276965,146.35412563497903,178.23463587904956,0,1,1,3,0,0,0,0,0.585971302788046,645.5922412472693,255.26798896001014,424.51158786407063,0,0,0,0,0,0,2,1121,6,2663,2048,8192,6,20,31.31329245555858,421.1423872974992,1404.2869867723205,0,1975.7511800090722,1853.3177315875885,14681.803919200207,0,PortScan
flow-000001,20.53.18.128,139.115.179.111,32323,53,6,07/07/2017 10:00:00 AM,38792.986797510064,25,13,2162,3934,104,44,789.9029411823983,231.67343078899722,687,43,40.84146349061503,59.652721226641546,35595.963442157634,79.22737851258935,4656.513939967865,2778.902635540047,21058.08169164532,457.4798377718904,75895.08812916047,2387.3548996185186,190.82023298082262,6950.0267519751405,334.42062633180365,32891.45543412638,2684.305426285738,412.08268948509624,9885.726245896973,153.17074990151593,2,0,0,0,99,100,28.283221279690064,30.907397044196074,58,1294,361.36641469099703,156.8852545896374,224.5537210460664,0,2,0,0,4,0,0,0,2.7689161848152324,249.57533748932497,346.2297538213778,472.8865920423853,0,0,0,0,0,0,4,2672,7,1772,4096,32768,12,20,929.6976523425731,404.06018978220845,1936.870893880228,0,4357.302950938589,1607.344153798229,4138.116148277699,0,BENIGN
flow-000002,24.13.100.137,165.194.9.142,32623,80,17,07/07/2017 10:00:01 AM,111540.67026177805,12,23,3402,2287,1288,20,205.5100751572951,128.1323365878769,667,32,692.7625491073844,2.085639159357211,25586.29039862053,42.32368931172912,1255.8366913791224,359.5961020010484,8238.171597248649,471.4548519562596,15615.352115258976,2925.8112230406077,1406.0379177903558,6779.617484504435,485.89104136048036,98460.29593624194,870.1838849766159,745.8727588385782,4295.165520948562,113.93619775098705,0,0,0,0,42,282,2.1360112785771452,13.999328546659315,20,902,440.3527257773834,182.7336458292841,2294.137506408149,1,2,1,2,17,0,0,0,2.3205408715296487,320.6698796315519,479.3834983561477,409.43544959566526,0,0,0,0,0,0,11,3682,1,1197,4096,32768,13,20,858.3588048137199,162.97945260094238,738.6990379400901,0,3555.747662190089,1619.0020922794308,7298.986752188723,0,BENIGN
flow-000003,188.64.220.180,119.70.59.113,8756,8080,17,07/07/2017 10:00:02 AM,5056.061877167786,10,1,2059,1713,590,37,675.0367815486426,202.70703511178422,512,42,446.9149398472257,208.73531980352465,11504.646087685252,18.32053778249768,20133.899683206615,1549.907673813043,6044.5245509656,498.12684987896216,134578.4415672155,3268.4381583455106,1765.2726863786795,3136.892119314942,139.43567629609095,36154.988484421374,5625.315149806551,1284.4864378171387,6220.410454083166,355.1080395043839,2,0,0,0,108,456,30.518238453149703,0.6651229491801971,44,598,586.8319183776587,120.98024368436643,1596.282915687528,1,1,0,4,9,0,0,0,0.9398131316933634,110.84521816931252,396.33622911006074,172.98780879509098,0,0,0,0,0,0,8,1258,3,450,1024,8192,11,20,367.71580305943354,132.60118384086272,807.5699657993424,0,4865.052773762228,786.1954493335209,17894.90782595371,0,BENIGN
flow-000004,121.29.121.60,33.5.116.106,50010,80,6,07/07/2017 10:00:02 AM,22485.23202788626,953,0,4993,3730,323,52,51.62427709870052,2.5025136051586405,698,23,48.72329415221945,193.64168877215033,1674355.703999923,859.7039219659465,15387.812063940117,2744.5931706613455,9245.747929947334,7.728308264433714,105420.93829327558,2235.7531082122455,1933.3096380873392,49706.03214195308,426.50472773368006,10463.282045164808,1458.8757962960808,1276.7050072752854,4573.754777168605,67.797098674437,0,0,0,0,300,176,3.985598477052423,8.5940730893298,41,1162,170.042007618262,179.58241309093418,4399.128052446981,0,239,21,2,57,0,0,0,1.8820499422697694,277.90608618867907,351.8685138677659,213.22761066911818,0,0,0,0,0,0,13,2975,10,85,1,8192,1,20,70.94091699992767,198.3919136069442,247.22874001425112,0,4433.0857447533,55.233543747409406,11787.865462397394,0,DDoS
flow-000005,73.29.39.15,42.224.92.73,3889,8080,17,07/07/2017 10:00:03 AM,199.25236719868673,1,1,2591,2710,58,27,34.98450458505885,64.74630824905296,44,58,95.71754804520135,15.504516350582309,1903.3768900236332,8980.123485682427,5072.68724102308,2178.274001167985,74471.14017399985,258.15017415059765,15600.788564239152,6342.6159189307455,541.6645025241485,8669.75146909952,39.22819067113298,770.3282862442314,9862.139769805806,1253.9701807683086,14287.7127935921,163.58117776570796,1,0,0,0,40,306,35.872498173653085,26.509835855693932,20,771,358.34812871328336,214.2778321250417,2234.7972035216662,0,1,1,3,0,0,0,0,0.8966161191062276,172.0987886833853,305.12780002984096,127.73551422298978,0,0,0,0,0,0,15,1108,14,1823,32768,8192,5,20,474.1738290873252,48.91708032550074,1525.686037838814,0,2367.3588539028283,346.40373982003035,8960.107160140475,0,PortScan
flow-000006,72.149.66.156,111.245.62.169,6057,443,17,07/07/2017 10:00:03 AM,201622.0638200009,58,24,1448,565,1079,43,756.796535511783,283.27547913755024,935,51,753.9772858972174,172.64225336276368,19469.679317705442,17.019291309864002,3064.7798702554564,1636.850367947805,56762.54292465998,193.05131890038712,129963.67446027015,9589.560819143664,391.5822695785929,1078.2623295473552,50.389000688713324,551.6966354170111,297.61503496726243,1024.5101601245353,886.1955233571242,127.59025211750452,1,0,0,0,58,104,34.798072755251,14.128963196791936,30,912,119.59316333782313,154.4865079288947,4841.144702449213,8,10,0,2,32,0,0,0,2.329119388249101,176.61383765347935,250.0098695296628,381.8828864188331,0,0,0,0,0,0,5,3951,1,1598,65535,1024,3,20,103.12386883593261,451.27645333978336,1565.2318800987857,0,4132.287330538708,640.0992020612235,17962.702955675908,0,FTP-Patator
flow-000007,62.253.182.230,66.227.154.242,25071,53,0,07/07/2017 10:00:04 AM,149848.6191594143,21,19,3677,1440,183,24,255.7722942075097,98.59936361097479,930,40,609.3283876670137,237.47371311775456,39501.945325448236,10.029404201820347,3410.2479828667797,172.67628004993284,15949.226313907859,220.76525068668852,87464.74656883205,1728.7664778715405,234.13403285521173,2314.6148181317903,380.75531585873614,28887.17039244105,319.82613673615634,126.16020917249615,14486.501659837197,29.10520254567741,1,0,0,0,92,120,12.044789585014126,23.37782506390326,20,841,506.39978362875127,286.81214434596467,4931.405212732067,1,2,0,4,12,0,0,0,1.8960106243395125,354.5332055481858,643.8126310568416,137.8226907991987,0,0,0,0,0,0,3,272,13,803,8192,32768,10,20,740.9738609106683,383.59742655428585,2486.09202044241,0,3721.0582847164897,1362.078854193818,5131.376190203164,0,BENIGN
flow-000008,78.163.53.14,98.210.248.72,6165,21,6,07/07/2017 10:00:04 AM,25559.85904524187,29,17,923,978,973,25,647.6241217505852,293.37020062628125,212,40,63.418603139593024,277.3929990670788,45963.87419240511,26.046026630934872,5943.961781406169,226.3036412693078,3635.604432667578,108.40455329324561,13953.597110711635,21920.6761632122,1393.8501117276296,7272.540262199291,368.5503529215096,74043.02289503498,9560.853214383007,86.7958466365611,6020.840611696621,42.70242637435375,0,0,0,0,108,360,17.990935287289613,23.471147640479625,47,1368,587.1974038330832,296.5526861199007,3520.992398696751,0,0,0,4,13,0,0,0,2.2118279313846982,197.57016360693478,646.5563106963054,507.71936632004787,0,0,0,0,0,0,18,3030,5,1888,1024,2048,10,20,932.7284833540133,433.03194475020416,231.13414330794927,0,131.83487248626002,752.9267337560992,16305.789950245742,0,BENIGN
flow-000009,143.118.156.190,151.107.62.96,48531,22,6,07/07/2017 10:00:05 AM,218213.77341100838,18,11,4258,1290,866,46,468.19273125762567,19.053548877000402,144,54,133.06613147648756,4.101589448099185,3860.4171115878694,69.47972531972229,3821.565002696231,2249.7322484099154,48875.083517802326,292.57476616273595,51802.73226551812,5660.112225083401,755.7010985515728,4137.979145749749,102.52266425326245,8688.215308780553,963.6412721997499,310.8414735120847,25266.53546209758,302.7996528688915,1,0,0,0,376,116,24.0724294910562,33.3054481554813,31,1460,375.9534193872428,190.23449288384657,4395.6026530258905,0,0,1,4,14,0,0,0,2.2601994202480586,227.77849690534646,181.82288535206186,87.56322614729861,0,0,0,0,0,0,6,1429,2,2895,65535,4096,3,20,904.1586944937484,174.12773351165018,1590.5695185634513,0,3918.2650637057154,793.0855646425404,12630.690654443533,0,BENIGN
flow-000010,188.225.232.244,39.10.255.215,3236,53,17,07/07/2017 10:00:05 AM,99157.03218421534,6,4,237,2281,1464,29,622.0666608128561,19.87079335555976,108,53,508.0203770050103,104.22402246762427,10535.626474817858,58.3853435127021,2089.4337699399066,1611.7902501422102,12328.136571165307,292.38305297457686,20453.062562644132,4784.912470558862,360.1345446985971,17885.67749333204,205.83060717876407,62219.91683173368,2172.2796527614696,1459.6655239051565,11053.691569310482,89.53962636252824,0,0,0,0,48,282,4.890775420974252,5.0892440826938525,60,1023,203.16685920289626,141.06746526201886,2566.744627188799,0,2,0,1,15,0,0,0,2.0697509737272695,149.05541916932316,624.1471744640663,558.8536482765428,0,0,0,0,0,0,17,1149,4,1330,1024,4096,13,20,986.2569958668151,268.2953229936663,2779.721101411556,0,1180.5826655870217,1519.9108178751712,10859.682202483913,0,BENIGN
flow-000011,86.43.30.72,166.196.253.5,57566,3389,17,07/07/2017 10:00:06 AM,41222.212184514276,293,0,1746,968,789,37,12.304653608967547,9.679940665042343,1078,44,597.8020086922407,54.68516354278742,2805976.3204189525,2900.9021784025094,467.183487260647,1606.0066920465706,5311.01341373588,171.46343213913013,25695.876892315526,1754.6667430938758,1297.645680583152,9796.847095322999,292.0997423570846,40047.79428044897,2447.587374410535,879.8031519911386,9973.98350513257,151.50905038051573,0,0,0,0,100,90,12.5954811955004,20.080433604602927,25,1240,566.8459118799374,51.883590783518684,1204.1307087913883,1,484,44,3,43,0,0,0,0.7197190613503597,583.518932044686,133.3920936141852,518.0032983550544,0,0,0,0,0,0,3,342,8,278,4,32768,2,20,575.99841780566,458.6978065427658,115.3700185530557,0,4875.335814725712,981.4975585175689,14596.473884124625,0,DoS Hulk
flow-000012,67.105.194.48,178.220.26.170,21022,80,0,07/07/2017 10:00:06 AM,27707.227503491526,2,20,4308,2237,598,20,500.1774326800571,86.58916597207673,178,55,276.894487962826,178.16492926736964,18524.601027343815,45.972529249690865,3977.041609423742,1646.765939666932,4506.179441182566,342.2857739399167,3678.8273799207764,597.8291203789842,5.421798828659341,1861.2889407625444,236.58310052594612,27949.88953446372,4743.85558557445,160.0488751701541,22823.77819736105,298.38981021948723,1,0,0,0,165,270,10.647589597635244,15.355374823062878,20,795,460.7982753756386,62.02366099102193,3929.4209605819333,2,0,0,3,3,0,0,0,0.9106644948274824,588.7448321388292,499.11833241772007,351.99402087994207,0,0,0,0,0,0,4,700,13,1115,1024,2048,8,20,451.94860129903924,356.891227427663,2709.035591347302,0,3120.5077209091883,1079.562123829266,9055.521170072612,0,BENIGN
flow-000013,16.172.134.208,161.110.14.88,48589,3389,17,07/07/2017 10:00:07 AM,43076.666890805616,18,1,3154,552,860,59,206.34955101209317,162.85479318402267,237,25,286.2681551526129,219.16474104279044,34716.508609426586,17.50634523934493,10544.521296073974,1486.270879211897,27054.167646061247,286.57542462869435,242865.63322804566,5583.8133575087695,1413.960922486918,22614.862852759565,71.5639927742348,6865.214686702771,3755.9626709617214,740.972230696294,16860.114847900822,41.166412297658006,0,0,0,0,200,172,20.165720882738178,31.952626021448282,24,656,214.62569761632074,230.56314209826658,3628.1790290757644,2,2,0,3,4,0,0,0,2.2904476868323806,459.4176188663959,596.0792966854469,578.7188931732944,0,0,0,0,0,0,8,2697,6,761,65535,2048,14,20,614.9502631526544,455.92620442148234,503.43696301487944,0,503.97301507943246,512.0310637073244,14658.863928216815,0,BENIGN
flow-000014,24.55.198.244,183.147.237.109,38550,53,6,07/07/2017 10:00:07 AM,374.9802351995889,1,0,3035,3926,68,47,27.627508826546663,20.676461810165637,90,48,110.27016385989332,252.13188959412687,1619.5858419411118,4144.482991443997,1345.3225300536997,496.56153110186926,4123.783830998118,418.74539450124604,16147.452403609606,1492.6360454411217,454.79124175422527,14043.361078323444,189.65284919277443,40906.60538504292,690.4282473647121,1181.6848330717387,11107.6573458859,45.7069200222751,0,0,0,0,270,147,17.67418349386327,29.57879954995701,36,1139,212.302411469991,163.10987903317334,790.1993998610193,0,1,1,4,0,0,0,0,1.4059847477915828,448.3530101668261,479.3585727517182,86.8091174259335,0,0,0,0,0,0,17,1066,1,1157,1024,1024,4,20,414.62412372702374,42.67483403932193,2990.9353303532475,0,2510.975051656213,1190.7700346400875,1807.991309074336,0,PortScan
flow-000015,129.121.67.233,13.143.140.22,17403,53,17,07/07/2017 10:00:08 AM,31583.296484607567,1033,0,2165,818,629,21,56.907198417729404,7.636057941597608,1285,57,619.3243364210053,30.894443799394654,3880480.8898466346,1877.5136838631327,6996.821423330416,816.9055641608983,45544.27564350358,263.2892333296469,64527.752577692496,15439.892756134806,1679.577718913141,30260.388519815566,203.99224768242235,24070.290935589266,878.6409359283459,294.1696495401792,8450.688738319932,238.01959188016824,0,0,0,0,168,416,5.422348941587585,9.95393598267833,33,787,527.8482340531428,257.5549661417479,2046.1992951304287,0,102,43,1,98,0,0,0,2.0831019372774016,541.5427679176014,608.87685728013,143.84398262460843,0,0,0,0,0,0,19,1671,13,2797,4,2048,1,20,817.4435617384408,170.90867584893797,852.3279569507482,0,1898.4620408363346,1180.5898850296155,5727.240996046087,0,DoS Hulk
flow-000016,19.140.185.69,178.128.6.32,21136,8080,17,07/07/2017 10:00:08 AM,6065.345192688063,25,14,4323,785,760,36,236.8815667264085,162.49026439826008,276,44,228.57351778356576,41.80682222184724,41763.018816285025,98.45581588965166,3729.4727348604347,515.0378575449105,6357.529434578657,9.195338273733366,98275.54110774228,501.124175384812,1153.0329510285071,4804.219929041894,277.0890012578967,31616.65901958081,5311.31757726708,309.6319076409048,132.68075558036634,54.75425202752291,0,0,0,0,300,368,12.911167697799089,25.433993115290672,26,1405,557.2059729624799,154.69263122301828,1977.3787884225376,1,1,1,1,11,0,0,0,0.960927301697408,154.20217634656473,562.5915553212872,115.48984678412762,0,0,0,0,0,0,11,1419,11,2773,1024,4096,7,20,610.4046670079576,474.6533985288828,1250.2831818509574,0,4770.4346826981655,270.0025548424139,9933.221367682048,0,BENIGN
flow-000017,123.236.8.113,12.238.18.248,24533,23,0,07/07/2017 10:00:09 AM,2813.3741010591384,1282,0,1862,3365,997,53,41.777326552688386,3.3987496376806616,112,28,300.6859240733485,123.83806518202569,1855251.384813664,2847.318250617219,3077.9826104959475,227.80023110886626,1619.111606010608,1.1696953128891296,137306.76431903313,21.07067357635132,206.18749202748975,5666.214688982166,403.7151259083806,98183.16388562645,4682.1369480738795,1035.8403486684608,8840.190921667163,34.68208474487344,2,0,0,0,135,252,36.34311479902036,25.59809371764263,27,1036,551.6819063180125,211.66622977929086,3496.5585361389312,0,350,33,1,2,0,0,0,2.8131207935391647,208.34520707640013,440.76713833157766,556.0539147457818,0,0,0,0,0,0,14,434,5,186,2,2048,11,20,944.2664891134339,237.1071083287319,2599.923687869009,0,4222.746992675352,638.2009464865113,16663.851745938206,0,DoS Hulk
